Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
-----------------------------------------------
                0.00    0.00       1/180         jbwm_set_not_fullscreen [140]
                0.00    0.00       1/180         jbwm_set_fullscreen [139]
                0.00    0.00       2/180         jbwm_toggle_shade [123]
                0.00    0.00       3/180         jbwm_set_vert [114]
                0.00    0.00       9/180         jbwm_drag [2]
                0.00    0.00      34/180         commit_key_move [63]
                0.00    0.00      36/180         jbwm_handle_ConfigureNotify [42]
                0.00    0.00      94/180         jbwm_handle_PropertyNotify [19]
[38]     0.0    0.00    0.00     180         jbwm_move_resize [38]
                0.00    0.00     180/180         do_move [36]
                0.00    0.00     180/180         jbwm_configure_client [37]
                0.00    0.00     178/186         jbwm_handle_mwm_hints [35]
                0.00    0.00     178/254         jbwm_update_title_bar [27]
                0.00    0.00      22/22          jbwm_set_shape [76]
-----------------------------------------------
                0.00    0.00     161/161         jbwm_events_loop [4]
[39]     0.0    0.00    0.00     161         jbwm_handle_EnterNotify [39]
                0.00    0.00      66/76          jbwm_select_client [46]
-----------------------------------------------
                0.00    0.00       1/146         jbwm_toggle_sticky [124]
                0.00    0.00       1/146         set_fullscreen [147]
                0.00    0.00       1/146         jbwm_toggle_shade [123]
                0.00    0.00       3/146         set_vert [115]
                0.00    0.00      64/146         jbwm_set_wm_state [43]
                0.00    0.00      76/146         set_focused [50]
[40]     0.0    0.00    0.00     146         jbwm_ewmh_add_state [40]
-----------------------------------------------
                0.00    0.00      64/140         jbwm_handle_key_event [55]
                0.00    0.00      76/140         unselect_current [51]
[41]     0.0    0.00    0.00     140         jbwm_get_current_client [41]
-----------------------------------------------
                0.00    0.00     108/108         jbwm_events_loop [4]
[42]     0.0    0.00    0.00     108         jbwm_handle_ConfigureNotify [42]
                0.00    0.00      36/180         jbwm_move_resize [38]
-----------------------------------------------
                0.00    0.00       2/94          jbwm_toggle_shade [123]
                0.00    0.00      92/94          set_showing [44]
[43]     0.0    0.00    0.00      94         jbwm_set_wm_state [43]
                0.00    0.00      94/434         jbwm_get_wm_state [21]
                0.00    0.00      94/359         jbwm_set_property [22]
                0.00    0.00      64/146         jbwm_ewmh_add_state [40]
                0.00    0.00      30/83          jbwm_ewmh_remove_state [45]
-----------------------------------------------
                0.00    0.00      29/92          jbwm_restore_client [75]
                0.00    0.00      63/92          jbwm_hide_client [56]
[44]     0.0    0.00    0.00      92         set_showing [44]
                0.00    0.00      92/94          jbwm_set_wm_state [43]
-----------------------------------------------
                0.00    0.00       1/83          jbwm_toggle_sticky [124]
                0.00    0.00       1/83          set_not_fullscreen [148]
                0.00    0.00       1/83          jbwm_toggle_shade [123]
                0.00    0.00      30/83          jbwm_set_wm_state [43]
                0.00    0.00      50/83          set_state_not_focused [59]
[45]     0.0    0.00    0.00      83         jbwm_ewmh_remove_state [45]
                0.00    0.00      83/531         jbwm_get_property [18]
                0.00    0.00      78/359         jbwm_set_property [22]
-----------------------------------------------
                0.00    0.00       2/76          jbwm_toggle_sticky [124]
